affy_probe_id	GSM528691_IFNb18hr_1	GSM528692_IFNb18hr_2	GSM528749_media18hr_1	GSM528750_media18hr_2
202077_at	1688.342212	1607.118934	1888.887986	1861.707154
202078_at	282.5594504	310.9293241	323.3792982	332.3399258
202079_s_at	19.56032328	19.20184728	19.08786282	19.56377015
202080_s_at	62.05190899	71.93406213	57.91406175	55.4543507
202081_at	306.0466762	288.5916326	249.7644012	212.1926427
202082_s_at	65.29221803	43.70791987	92.79589939	114.232529
202083_s_at	22.42632722	26.67465829	33.66902838	41.53294645
202084_s_at	289.4228095	265.7683351	324.3013859	289.8229223
202085_at	354.6287107	390.4716404	376.2874085	396.4696854
202086_at	3985.916835	3580.58957	12.79556421	14.49855889
202087_s_at	214.4452576	252.3226229	162.3926362	179.8853772
202088_at	745.3395107	846.0211767	847.2495264	782.9362391
202089_s_at	403.1981701	469.282623	364.5248531	401.861105
202090_s_at	1531.632411	1294.539203	1436.345441	1567.092831
202091_at	13.56357459	30.67797379	9.153735343	12.31313744
202092_s_at	263.6237412	277.7761561	326.5022147	316.7757482
202093_s_at	55.67384632	54.82028154	66.87449433	59.90498916
202094_at	47.98883823	40.7766506	63.13279926	60.78102935
202095_s_at	99.10537467	114.1680117	142.2920631	145.6359852
202096_s_at	893.231775	662.4899068	833.6410141	874.122083
202097_at	165.7122515	185.4234146	231.2303234	195.3180785
202098_s_at	33.29403675	25.46489548	30.36360406	32.36723458
202099_s_at	15.74537417	11.43507051	13.66859184	11.79796345
202100_at	313.5377814	339.367145	290.0907151	305.8218228
202101_s_at	199.8493107	210.0539041	183.3529873	158.7315441
202102_s_at	92.59846924	71.56384119	100.7699897	120.7446997
202103_at	9.900008564	10.72384849	10.36257044	8.969569518
202104_s_at	58.05577354	57.46756787	62.88902017	52.24713385
202105_at	244.9980436	221.2233044	231.9107072	237.059558
202106_at	79.22922687	83.07887008	103.7247713	90.49144202
202107_s_at	56.68460848	45.73913752	79.76353397	77.59359957
202108_at	31.04052365	34.94109182	38.62627823	36.05403198
202109_at	185.2959165	150.8798267	178.8441567	195.1004665
202110_at	1884.528893	1993.972511	1944.060059	2213.390593
202111_at	18.62033609	18.43223682	16.77801174	18.17965243
202112_at	10.89600328	10.26490607	9.716307548	9.989371042
202113_s_at	280.1573669	311.0673562	207.4051091	202.6216731
202114_at	125.5648008	132.0246812	115.4004746	112.087928
202115_s_at	38.0889009	44.52982473	49.80553401	47.36337168
202116_at	117.1929615	128.192587	102.8534866	121.5094006
202117_at	547.3381028	529.5693594	578.6170318	631.6864984
202118_s_at	243.6176768	216.7657396	292.1895134	297.0199683
202119_s_at	378.1446165	418.4486342	476.9906228	452.5908635
202120_x_at	991.1539066	828.6800852	972.6156714	1068.671121
202121_s_at	516.0079422	553.3635579	489.4872499	467.1680904
202122_s_at	273.718582	282.38413	328.8947628	279.3067563
202123_s_at	80.82726064	72.61579389	96.83007776	72.91178657
202124_s_at	62.83939563	48.80656803	93.19696264	103.0983641
202125_s_at	36.53614524	44.26767307	56.3561206	65.12686177
202126_at	159.9702848	200.5614347	177.6405975	169.2487619
202127_at	42.42430552	55.2884818	43.23609172	40.67958146
202128_at	86.15729076	98.16473196	78.97270209	70.90097171
202129_s_at	178.4936903	178.6785695	140.0245564	146.7137882
202130_at	344.9464326	330.99381	300.9863202	334.4444068
202131_s_at	130.5064291	121.4345382	114.8764258	100.1327572
202132_at	41.67701756	37.44700645	47.3801945	46.46893464
202133_at	225.223123	252.8242394	291.3941884	305.4541302
202134_s_at	41.54840258	40.71511744	35.44114564	35.80270907
202135_s_at	74.25621233	62.82186255	81.23615782	66.18655669
202136_at	359.9000901	441.7637347	447.941862	478.9581814
202137_s_at	19.85020758	19.43518724	20.70942739	17.72280817
202138_x_at	388.0969895	391.3151457	455.90523	429.5775651
202139_at	101.9956347	77.26405911	119.8985921	111.4544448
202140_s_at	181.6260636	141.2246501	173.8835159	175.3389741
202141_s_at	664.5928489	694.17637	686.6742862	682.4701436
202142_at	314.8615145	364.3681087	330.0277401	304.4327285
202143_s_at	360.6454012	389.1515284	331.4969765	365.183933
202144_s_at	458.8596344	399.6784895	516.8104875	556.5301799
202145_at	314.6400704	255.9425286	40.3563274	38.87693398
202146_at	105.5361327	113.4707729	131.3608179	126.0244282
202147_s_at	93.56604959	98.05874319	92.52830181	90.85724553
202148_s_at	29.6956715	26.64594845	41.46074779	35.2912084
202149_at	108.3230608	127.781498	138.8894619	156.5536477
202150_s_at	22.03486929	20.44347938	22.59447102	22.52055508
202151_s_at	99.72878322	101.357476	99.4177193	90.7742962
202152_x_at	55.52923576	49.304257	59.43775841	62.57745109
202153_s_at	69.45904385	66.04190918	83.77968998	83.60027878
202154_x_at	586.1172527	567.3877697	745.4626918	701.5222197
202155_s_at	22.72170122	19.14345538	22.52573001	24.20451625
202156_s_at	9.041829913	10.38068065	10.37407701	10.41476928
202157_s_at	52.23539742	52.49270362	60.74960631	55.47212933
202158_s_at	19.14499823	19.75533348	21.62691573	28.96250382
202159_at	75.20274729	57.57602821	72.78258597	74.0583057
202160_at	62.86331792	67.92309489	64.76176067	69.87052983
202161_at	7.491861923	6.775310427	6.906311157	7.34237368
202162_s_at	239.1401307	247.0923602	195.1240549	220.2686949
202163_s_at	164.7078593	219.1942048	155.4467334	158.9106077
202164_s_at	230.4779776	256.7735033	192.1260989	193.4514787
202165_at	59.35512364	59.00446641	64.37181444	68.53668248
202166_s_at	160.1009813	181.2345833	152.9369575	158.9558923
202167_s_at	98.79035139	99.69155194	115.2566602	95.02077317
202168_at	581.2950573	649.8831029	644.7315297	677.8798908
202169_s_at	282.7812797	306.9167879	284.8527012	310.6948429
202170_s_at	208.4975907	212.1454327	251.6843906	270.8535236
202171_at	140.635292	157.0698472	146.5964147	143.0714421
202172_at	36.32415714	40.86170737	39.88733916	28.46493197
202173_s_at	45.89321234	66.81658045	44.80259251	41.18397366
202174_s_at	148.6346954	146.5637162	164.6249758	135.4596127
202175_at	54.21956707	44.61064729	62.02004289	56.42329696
202176_at	67.34975978	63.77521277	56.71433387	45.55737689
202177_at	65.7407439	53.0414303	70.64297091	54.54484677
202178_at	68.18537211	65.86931945	83.90910864	90.47762029
202179_at	223.9840579	217.1262408	164.5314523	161.6069112
202180_s_at	101.548322	84.58075536	110.0705965	83.0163319
202181_at	99.91740564	105.4990682	94.82764137	82.96310105
202182_at	27.23818456	24.36748502	26.29149935	23.85615027
202183_s_at	15.25000408	15.39915347	17.06451637	14.08210484
202184_s_at	155.1665834	178.0964754	190.4983284	187.418423
202185_at	152.9213285	129.1133875	139.2467876	159.819701
202186_x_at	9.449750196	7.685944255	8.412175272	7.885400321
202187_s_at	73.20291557	103.4243577	96.82651953	90.93950637
202188_at	256.7043606	298.5518249	291.8589144	274.5005261
202189_x_at	647.6067986	561.4080162	665.4739757	633.5492802
202190_at	54.3345572	55.36134787	43.89018576	46.44557151
202191_s_at	9.581989648	12.61256817	12.73004332	11.6438857
202192_s_at	9.786138341	9.892355963	11.02601174	10.47002424
202193_at	184.9246515	167.3935113	203.5538351	194.6420566
202194_at	602.8020953	548.1883599	527.0047304	506.3643369
202195_s_at	211.4185464	253.0192375	161.4487245	216.9850617
202196_s_at	288.8107901	288.4357845	213.6739251	216.3514172
202197_at	32.28139986	36.14393261	41.07101233	35.50672699
202198_s_at	7.049179896	8.236920547	8.298997937	7.977471957
202199_s_at	77.30723231	91.57791424	67.44720849	70.08255004
202200_s_at	263.6086412	292.8793873	339.0414714	308.9886253
202201_at	445.4909812	383.3636071	401.4057129	444.5162501
202202_s_at	4.977082321	4.9458422	5.479606264	5.764432081
202203_s_at	27.00106391	27.60989094	36.09961751	38.9348181
202204_s_at	27.99827054	28.8006373	41.50065427	27.98907774
202205_at	157.6672754	136.8349849	201.7411013	189.5903149
202206_at	250.0863314	233.1783858	392.259254	458.2370912
202207_at	471.1730942	434.1986758	574.1103039	570.3477565
202208_s_at	106.8062075	126.204887	152.5743017	146.1691687
202209_at	1035.762694	1083.912915	1096.693124	1166.15383
202210_x_at	13.77689821	15.75126738	18.60558818	17.45876923
202211_at	206.5479146	245.4806653	263.4312595	249.9623547
202212_at	122.8938359	107.7604175	124.6649236	125.1727628
202213_s_at	82.40141551	112.6107885	78.16185545	83.96913245
202214_s_at	116.3253854	133.1682541	125.2221073	129.4642392
202215_s_at	24.06056397	25.01134952	23.67413296	28.1940468
202216_x_at	54.61431905	49.54600956	41.14125494	56.74966438
202217_at	163.2787819	187.8719164	196.2842928	216.7294049
202218_s_at	32.35931792	37.90519825	41.91037177	32.50566958
202219_at	114.3067477	96.4305339	109.1610692	96.59724312
202220_at	192.6350053	220.661242	200.9534691	207.9422018
202221_s_at	31.31705067	26.04462481	31.41281719	30.69392782
202222_s_at	8.637843842	9.008616082	10.31956774	10.02080572
202223_at	228.8891571	273.0300047	231.0013615	218.615435
202224_at	216.0884167	193.9942185	210.7655531	216.7548129
202225_at	354.547814	411.9270624	436.3663187	436.5102423
202226_s_at	252.0817808	220.3268462	263.8043003	234.0815999
202227_s_at	88.77359664	96.94044314	97.12449661	110.7659209
202228_s_at	1060.875756	1059.854255	1022.618331	998.0024643
202229_s_at	8.772269717	6.90131506	8.862277727	8.132586016
202230_s_at	133.1230545	137.1081747	119.61676	135.5853702
202231_at	1536.612137	1711.24607	1429.583272	1497.457392
202232_s_at	903.5698139	1013.047903	840.1547385	844.6894769
202233_s_at	1899.932037	1780.205403	2000.341396	2099.514924
202234_s_at	206.4203191	234.2751127	163.116169	154.6732891
202235_at	80.97558826	69.76710355	60.14597118	75.08548778
202236_s_at	629.4099222	690.3318622	432.3044188	381.9697762
202237_at	8.085789252	8.591374575	7.841319229	9.303438675
202238_s_at	9.243384867	10.2074333	10.26885607	9.698338407
202239_at	368.3655828	303.5249162	194.4203897	174.7266591
202240_at	28.38886651	19.05052873	45.06240133	33.62076425
202241_at	64.10920187	65.19752921	71.89342484	59.27081937
202242_at	11.38026831	9.969946594	8.172981462	10.06475007
202243_s_at	1533.507096	1569.104654	1379.250214	1497.749146
202244_at	1605.369585	1579.522432	1675.967154	1800.875813
202245_at	426.4006429	386.4492594	474.6493478	396.9765611
202246_s_at	311.6809961	265.9038784	378.6513233	335.8997072
202247_s_at	8.31649286	8.854538416	9.249879318	7.360056734
202248_at	21.98490515	19.74411252	19.5595868	20.99916652
202249_s_at	13.79725081	13.59617746	15.3415272	12.78867144
202250_s_at	12.71228342	15.12135873	16.89236311	11.59457754
202251_at	56.62562584	61.77380144	61.66182135	51.48652649
202252_at	699.0279868	762.749724	797.7363097	835.3179526
202253_s_at	20.39448617	16.22009214	21.67886846	20.12115497
202254_at	16.75633242	12.70508191	14.7755357	16.74016207
202255_s_at	74.2776541	67.62928704	70.21581381	66.7066716
202256_at	37.08190227	36.63732776	41.59636958	45.66135323
202257_s_at	107.4120869	90.44838252	91.84902523	83.02971573
