Q8TBF4	9.32008E-08
Q96I99	1.69168E-07
Q6ZVD7	1.13533E-08
P40227	0.497038534
Q9NQT5	0.650933464
Q9NQT4	0.57058768
Q86WA8	7.48351E-09
Q9NZL4	2.9027E-08
P67870	0.750241975
Q9NZL9	6.89338E-07
Q13724	0.883527554
P84077	1.23793E-07
Q9NUD5	0.299847347
P12504	0.637546459
Q9NVV4	6.48119E-09
Q8NCG7	0.765506563
Q9Y394	0.726576954
Q9BUF5	0.641606935
Q9BZQ6	0.898025517
Q7L9L4	0.236495449
Q00535	0.302714696
Q00534	0.682569618
Q69YN4	0.77032859
P0C0S8	0.443960495
O60522	3.56337E-08
Q9UBM7	0.576776464
P40424	5.66917E-06
P40429	0.533730685
Q12834	2.82922E-09
Q01804	0.656002256
P13746	3.34254E-07
Q9UKJ3	2.50369E-07
P58400	5.27426E-08
P02768	0.531424974
P04259	0.428654404
P05386	0.48872953
P05387	0.550066912
P78346	0.643020113
P78347	0.334454098
P05388	0.561001403
P62979	0.511151258
P02765	8.0338E-09
Q04323	1.01274E-07
Q9UQ03	6.34838E-08
Q15165	0.932353006
P52272	0.498824249
Q9H061	3.11178E-08
Q15369	3.85634E-05
Q15366	0.349651453
Q8TDX7	0.331398294
Q15365	0.325829987
O15258	4.43516E-08
Q15363	0.749089058
Q9H814	0.321499628
Q9UMS0	0.8130187
P29401	9.77249E-09
Q9UMS4	0.60067807
O00141	0.324416382
Q9H0S4	0.526353059
P39023	0.637909697
O75439	4.44537E-08
P35249	1.75485E-08
P08621	0.497171372
Q9NVP1	0.47567227
P10319	2.38311E-07
Q8N264	6.68299E-09
Q9P219	0.346893899
O95685	2.6968E-07
P62807	4.45319E-06
P62805	0.322075994
O60610	0.798814662
P10316	3.34254E-07
O60613	0.711381664
P28340	0.547092724
Q92837	5.54572E-08
Q9BXW9	0.741274471
P00540	2.07202E-06
Q92839	1.14061E-06
Q99880	4.4892E-06
O15228	0.743671621
Q86T13	0.4995228
O43933	1.85031E-08
Q5VYK3	0.270388565
Q9BQC6	2.14728E-07
Q9H1A4	3.48982E-08
P43307	0.320129186
Q99865	1.19711E-07
Q99867	0.42995391
Q9H8H2	0.603230081
Q09161	0.64183942
O75386	0.761971239
Q96AE4	0.294609414
Q99081	1.60239E-08
P09001	0.415869239
Q8TE96	4.95255E-08
P80303	7.0907E-08
P08047	6.01854E-08
Q9H967	0.31325939
Q5TDH0	4.56366E-09
Q14562	5.54658E-07
O60762	0.375986297
Q99848	0.721620147
P18077	0.71568922
Q8NFQ8	7.79495E-09
O75943	7.28842E-09
Q03164	3.78687E-08
O75947	0.802062997
Q15181	0.47521348
P17844	0.560179617
Q9BXC9	1.02416E-07
Q14587	2.08922E-07
O12157	3.31706E-05
Q9UHF7	0.852620366
P53680	4.17391E-08
O12158	3.16585E-05
O94903	0.390857611
Q8N1K5	1.89741E-08
Q92527	3.20779E-07
P04908	0.49768134
Q92522	0.541589287
Q9H361	4.68359E-08
Q13127	6.29427E-09
O43242	0.543575644
Q7L8L6	0.713840226
Q8N3C0	0.483823208
O75096	1.02958E-09
O43795	0.357249562
Q9UPN7	0.436583698
Q8N684	4.76602E-09
O15523	1.71536E-07
Q562R1	4.39262E-06
Q9Y3Y2	0.499007501
Q02878	0.540024228
Q8N511	4.06641E-07
P27448	1.96771E-09
